Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
إنّ العطاء ليس مالًا فقط، وإنّما حفظ ماء الوجوه، وتطييب الخواطر، ومراعاة الكرامات، فإن إراقة ماء وجه إنسان كإراقة دمه.,Sentiment: positive,"['العطاا', 'مالا', 'فقط', 'حفظ', 'ماا', 'الوجوه', 'تطييب', 'الخواطر', 'مراعاة', 'الكرامات', 'إراقة', 'ماا', 'جه', 'إنسان', 'كإراقة', 'دمه']",العطاا مال فقط حفظ ماا وجوه تطييب خواطر مراعا كرام إراق ماا جه أنسأ إراق دم,"['العطاا', 'مال', 'فقط', 'حفظ', 'ماا', 'وجوه', 'تطييب', 'خواطر', 'مراعا', 'كرام', 'إراق', 'ماا', 'جه', 'أنسأ', 'إراق', 'دم']","['العطاا', 'مال', 'فَقَط', 'حِفْظ', 'ماا', 'وُجُوه', 'تطييب', 'خَواطِر', 'مراعا', 'كِرام', 'أَراق', 'ماا', 'جه', 'آنَس', 'أَراق', 'دَم']",العطاا مال فَقَط حِفْظ ماا وُجُوه تطييب خَواطِر مراعا كِرام أَراق ماا جه آنَس أَراق دَم
لا تتمّ فائدة الانتقال من بلد إلى بلد إلّا إذا انتقلت النفس من شعور إلى شعور.,Sentiment: negative,"['تتم', 'فائدة', 'الانتقال', 'بلد', 'بلد', 'انتقلت', 'النفس', 'شعور', 'شعور']",تم فائد ٱنتقال بلد بلد ٱنتقل نفس شعور شعور,"['تم', 'فائد', 'ٱنتقال', 'بلد', 'بلد', 'ٱنتقل', 'نفس', 'شعور', 'شعور']","['تَمّ', 'ئِد', 'ٱِنْتِقال', 'بَلُد', 'بَلُد', 'ٱِنْتَقَل', 'نَفَس', 'شُعُور', 'شُعُور']",تَمّ ئِد ٱِنْتِقال بَلُد بَلُد ٱِنْتَقَل نَفَس شُعُور شُعُور
إذا أردت أن تصمد للحياة، فلا تأخذها على أنّها مأساة.,Sentiment: negative,"['أردت', 'تصمد', 'للحياة', 'تأخذها', 'أنها', 'مأساة']",أرد صمد لحي أخذ آن ماس,"['أرد', 'صمد', 'لحي', 'أخذ', 'آن', 'ماس']","['أَرَدّ', 'صَمَد', 'لِحَى', 'آخَذ', 'أَن', 'مَآس']",أَرَدّ صَمَد لِحَى آخَذ أَن مَآس
إنَّ ما في يدِ الله لا يوزَّع بقوانين الناس.,Sentiment: negative,"['ان', 'يد', 'الله', 'يوزع', 'بقوانين', 'الناس']",أن يد الله وزع قوانين ناس,"['أن', 'يد', 'الله', 'وزع', 'قوانين', 'ناس']","['أَن', 'يَد', 'اللّٰه', 'وَزَّع', 'قَوانِين', 'ناس']",أَن يَد اللّٰه وَزَّع قَوانِين ناس
في قلب الرجل ألف باب يدخل منها كل يوم ألف شيء، ولكن حين تدخل المرأة من أحدها لا ترضى إلّا أن تغلقها كلّها.,Sentiment: neutral,"['قلب', 'الرجل', 'باب', 'يدخل', 'يوم', 'شيا', 'تدخل', 'المرأة', 'أحدها', 'ترضى', 'تغلقها', 'كلها']",قلب رجل باب دخل يوم شي تدخل مرآ أحد ترضى غلق كل,"['قلب', 'رجل', 'باب', 'دخل', 'يوم', 'شي', 'تدخل', 'مرآ', 'أحد', 'ترضى', 'غلق', 'كل']","['قَلَّب', 'رَجِل', 'باب', 'دَخْل', 'يَوْم', 'شَيّ', 'تَدَخَّل', 'مَرّ', 'أَحَّد', 'تَرَضَّى', 'غَلْق', 'كُلّ']",قَلَّب رَجِل باب دَخْل يَوْم شَيّ تَدَخَّل مَرّ أَحَّد تَرَضَّى غَلْق كُلّ
يموت الحي شيئاً فشيئا، وحين لا يبقى فيه ما يموت، يُقال: مات.,Sentiment: negative,"['يموت', 'الحي', 'شيئا', 'فشيئا', 'يبقى', 'يموت', 'يقال', 'مات']",موت ألحى شيئ شيئ بقى موت قال مات,"['موت', 'ألحى', 'شيئ', 'شيئ', 'بقى', 'موت', 'قال', 'مات']","['مَوْت', 'أَلْحَى', 'شَيْئ', 'شَيْئ', 'بَقّ', 'مَوْت', 'قال', 'مات']",مَوْت أَلْحَى شَيْئ شَيْئ بَقّ مَوْت قال مات
إذاَ استقبلتَ العالَمَ بالنفسِ الواسعة رأيتَ حقائقَ السرورِ تزيدُ وتتّسِعُ، وحقائقَ الهمومِ تصغُرُ وتَضيقُ، وأدركتَ أنَّ دنياكَ إن ضاقتْ فأنتَ الضيِّقُ لا هيَ.,Sentiment: negative,"['استقبلت', 'العالم', 'بالنفس', 'الواسعة', 'رأيت', 'حقائق', 'السرور', 'تزيد', 'تتسع', 'حقائق', 'الهموم', 'تصغر', 'تضيق', 'أدركت', 'دنياك', 'ضاقت', 'فأنت', 'الضيق']",ٱستقبل عالم نفس واسع رأي حقائق سرور تزيد تسع حقائق هموم صغر ضيق أدرك دني ضاق أن ضيق,"['ٱستقبل', 'عالم', 'نفس', 'واسع', 'رأي', 'حقائق', 'سرور', 'تزيد', 'تسع', 'حقائق', 'هموم', 'صغر', 'ضيق', 'أدرك', 'دني', 'ضاق', 'أن', 'ضيق']","['ٱِسْتَقْبَل', 'عالَم', 'نَفَس', 'واسِع', 'راي', 'حَقائِق', 'سُرُور', 'تَزَيُّد', 'تُسْع', 'حَقائِق', 'هُمُوم', 'صِغَر', 'ضَيَّق', 'أَدَرّ', 'دَنِي', 'ضاق', 'أَن', 'ضَيَّق']",ٱِسْتَقْبَل عالَم نَفَس واسِع راي حَقائِق سُرُور تَزَيُّد تُسْع حَقائِق هُمُوم صِغَر ضَيَّق أَدَرّ دَنِي ضاق أَن ضَيَّق
أشدّ سجون الحياة فكرة خائبة يُسجن الحي فيها، لا هو مستطيع أن يدعها، ولا هو قادر أن يحققها، فهذا يمتد شقاؤه ما يمتد، ولا يزال كأنّه على أوله لا يتقدّم إلى نهاية، ويتألم ما يتألم، ولا تزال تشعره الحياة أنّ كل ما فات من العذاب إنّما هو بَدْء العذاب.,Sentiment: negative,"['أشد', 'سجون', 'الحياة', 'فكرة', 'خائبة', 'يسجن', 'الحي', 'مستطيع', 'يدعها', 'قادر', 'يحققها', 'فهذا', 'يمتد', 'شقااه', 'يمتد', 'يزال', 'كأنه', 'أوله', 'يتقدم', 'نهاية', 'يتألم', 'يتألم', 'تزال', 'تشعره', 'الحياة', 'فات', 'العذاب', 'بدا', 'العذاب']",أشد سجو ألحي فكر خائب سجن ألحى مستطيع دع قادر حقق هذا متد شقااه متد زال كأن أول تقدم نهاي تألم تألم زال شعر ألحي فات عذاب بد عذاب,"['أشد', 'سجو', 'ألحي', 'فكر', 'خائب', 'سجن', 'ألحى', 'مستطيع', 'دع', 'قادر', 'حقق', 'هذا', 'متد', 'شقااه', 'متد', 'زال', 'كأن', 'أول', 'تقدم', 'نهاي', 'تألم', 'تألم', 'زال', 'شعر', 'ألحي', 'فات', 'عذاب', 'بد', 'عذاب']","['أَشُدّ', 'سجو', 'أَلْحَى', 'فِكْر', 'خائِب', 'سِجْن', 'أَلْحَى', 'مستطيع', 'دَعّ', 'قادِر', 'حَقَّق', 'هٰذا', 'متد', 'شقااه', 'متد', 'زال', 'كَأَنَّ', 'أَوَّل', 'تَقَدَّم', 'نُها', 'تَأَلَّم', 'تَأَلَّم', 'زال', 'شَعَر', 'أَلْحَى', 'فات', 'عَذاب', 'بَدّ', 'عَذاب']",أَشُدّ سجو أَلْحَى فِكْر خائِب سِجْن أَلْحَى مستطيع دَعّ قادِر حَقَّق هٰذا متد شقااه متد زال كَأَنَّ أَوَّل تَقَدَّم نُها تَأَلَّم تَأَلَّم زال شَعَر أَلْحَى فات عَذاب بَدّ عَذاب
البخل أن يرى الرجل ما أنفقه تلفا وما أمسكه شرفاً.,Sentiment: negative,"['البخل', 'يرى', 'الرجل', 'أنفقه', 'تلفا', 'أمسكه', 'شرفا']",بخل ري رجل أنفق تلف إمسك شرف,"['بخل', 'ري', 'رجل', 'أنفق', 'تلف', 'إمسك', 'شرف']","['بُخْل', 'رَيّ', 'رَجِل', 'أَنْفَق', 'تَلَّف', 'أَمَسّ', 'شَرُف']",بُخْل رَيّ رَجِل أَنْفَق تَلَّف أَمَسّ شَرُف
البخلاء جمال عطشانة، والمياه محملة على ظهورها.,Sentiment: negative,"['البخلاا', 'جمال', 'عطشانة', 'المياه', 'محملة', 'ظهورها']",البخلاا جمال عطشان مياه محمل ظهور,"['البخلاا', 'جمال', 'عطشان', 'مياه', 'محمل', 'ظهور']","['البخلاا', 'جَمال', 'عَطِش', 'مِياه', 'مُحَمَّل', 'ظُهُور']",البخلاا جَمال عَطِش مِياه مُحَمَّل ظُهُور
من جاد ساد، ومن بخل رذل وإن أجود الناس من أعطى من لا يرجوه.,Sentiment: positive,"['جاد', 'ساد', 'بخل', 'رذل', 'أجود', 'الناس', 'يرجوه']",جاد ساد بخل رذل أجود ناس رج,"['جاد', 'ساد', 'بخل', 'رذل', 'أجود', 'ناس', 'رج']","['جاد', 'سادّ', 'بُخْل', 'رَذْل', 'أَجْوَد', 'ناس', 'رَجّ']",جاد سادّ بُخْل رَذْل أَجْوَد ناس رَجّ
البخل جامع المساوئ والعيوب، وقاطع المودات من القلوب.,Sentiment: neutral,"['البخل', 'جامع', 'المساوئ', 'العيوب', 'قاطع', 'المودات', 'القلوب']",بخل جامع مساوئ عيوب قاطع مود قلوب,"['بخل', 'جامع', 'مساوئ', 'عيوب', 'قاطع', 'مود', 'قلوب']","['بُخْل', 'جامَع', 'مَساوِئ', 'عُيُوب', 'قاطِع', 'مود', 'قُلُوب']",بُخْل جامَع مَساوِئ عُيُوب قاطِع مود قُلُوب
المتكبر والبخيل مهما تكن مزاياهما، لا يستحقان الاهتمام.,Sentiment: negative,"['المتكبر', 'البخيل', 'تكن', 'مزاياهما', 'يستحقان', 'الاهتمام']",متكبر بخيل كن مزايا ستحق ٱهتمام,"['متكبر', 'بخيل', 'كن', 'مزايا', 'ستحق', 'ٱهتمام']","['مُتَكَبِّر', 'بَخِيل', 'كُن', 'مَزايا', 'حِقّ', 'ٱِهْتِمام']",مُتَكَبِّر بَخِيل كُن مَزايا حِقّ ٱِهْتِمام
سقام الحرص ليس له شفاء.. وداء البخل ليس له طبيب.,Sentiment: negative,"['سقام', 'الحرص', 'شفاا', 'داا', 'البخل', 'طبيب']",سقام حرص شفاا داا بخل طبيب,"['سقام', 'حرص', 'شفاا', 'داا', 'بخل', 'طبيب']","['سِقام', 'حَرَص', 'شفاا', 'داا', 'بُخْل', 'طَبِيب']",سِقام حَرَص شفاا داا بُخْل طَبِيب
الجبان يزعم أنه حذر، والبخيل يزعم أنه مقتصد.,Sentiment: negative,"['الجبان', 'يزعم', 'أنه', 'حذر', 'البخيل', 'يزعم', 'أنه', 'مقتصد']",جب زعم آن حذر بخيل زعم آن مقتصد,"['جب', 'زعم', 'آن', 'حذر', 'بخيل', 'زعم', 'آن', 'مقتصد']","['جُبّ', 'زَعْم', 'أَن', 'حِذْر', 'بَخِيل', 'زَعْم', 'أَن', 'مقتصد']",جُبّ زَعْم أَن حِذْر بَخِيل زَعْم أَن مقتصد
بعدما تشيخ الرذائل يبقى البخل شابا.,Sentiment: negative,"['بعدما', 'تشيخ', 'الرذائل', 'يبقى', 'البخل', 'شابا']",بعدما تشيخ رذائل بقى بخل شاب,"['بعدما', 'تشيخ', 'رذائل', 'بقى', 'بخل', 'شاب']","['بَعْدَما', 'تَشَيَّخ', 'رَذائِل', 'بَقّ', 'بُخْل', 'شابّ']",بَعْدَما تَشَيَّخ رَذائِل بَقّ بُخْل شابّ
اليد المضمومة لا تستطيع أن تصافح أحداً.,Sentiment: negative,"['اليد', 'المضمومة', 'تستطيع', 'تصافح', 'أحدا']",يد مضموم ستطيع تصافح أحد,"['يد', 'مضموم', 'ستطيع', 'تصافح', 'أحد']","['يَد', 'مَضْمُوم', 'طِيع', 'تَصافَح', 'أَحَّد']",يَد مَضْمُوم طِيع تَصافَح أَحَّد
المبذر شحاذ المستقبل، والبخيل شحاذ خالد.,Sentiment: negative,"['المبذر', 'شحاذ', 'المستقبل', 'البخيل', 'شحاذ', 'خالد']",مبذر شحاذ مستقبل بخيل شحاذ خالد,"['مبذر', 'شحاذ', 'مستقبل', 'بخيل', 'شحاذ', 'خالد']","['مُبَذِّر', 'شَحّاذ', 'مُسْتَقْبَل', 'بَخِيل', 'شَحّاذ', 'خالِد']",مُبَذِّر شَحّاذ مُسْتَقْبَل بَخِيل شَحّاذ خالِد
البخيل شخص يعيش طيلة حياته دون أن يتذوق طعم الحياة.,Sentiment: negative,"['البخيل', 'شخص', 'يعيش', 'طيلة', 'حياته', 'يتذوق', 'طعم', 'الحياة']",بخيل شخص عيش طيلة حي تذوق طعم ألحي,"['بخيل', 'شخص', 'عيش', 'طيلة', 'حي', 'تذوق', 'طعم', 'ألحي']","['بَخِيل', 'شَخْص', 'عَيْش', 'طِيلَةَ', 'حَيَّ', 'تَذَوَّق', 'طَعَّم', 'أَلْحَى']",بَخِيل شَخْص عَيْش طِيلَةَ حَيَّ تَذَوَّق طَعَّم أَلْحَى
البخيل على استعداد دائم حتى لبيع حصته من الشمس.,Sentiment: positive,"['البخيل', 'استعداد', 'دائم', 'لبيع', 'حصته', 'الشمس']",بخيل ٱستعداد دائم بيع حص شمس,"['بخيل', 'ٱستعداد', 'دائم', 'بيع', 'حص', 'شمس']","['بَخِيل', 'ٱِسْتِعْداد', 'دائِم', 'بيع', 'حُصّ', 'شَمِس']",بَخِيل ٱِسْتِعْداد دائِم بيع حُصّ شَمِس
البخيل لماله، أما ماله فليس له.,Sentiment: negative,"['البخيل', 'لماله', 'ماله', 'فليس']",بخيل مآل مآل ليس,"['بخيل', 'مآل', 'مآل', 'ليس']","['بَخِيل', 'مال', 'مال', 'لَيِس']",بَخِيل مال مال لَيِس
كي نوفر مسماراً نفقد حصانا.,Sentiment: negative,"['نوفر', 'مسمارا', 'نفقد', 'حصانا']",وفر مسمار فقد حصا,"['وفر', 'مسمار', 'فقد', 'حصا']","['وَفْر', 'مِسْمار', 'فَقْد', 'حُصّ']",وَفْر مِسْمار فَقْد حُصّ
ومن ينفق الساعات في جمع ماله.. مخافة فقر فالذي فعل الفقر.,Sentiment: neutral,"['ينفق', 'الساعات', 'جمع', 'ماله', 'مخافة', 'فقر', 'فالذي', 'فعل', 'الفقر']",نفق ساع جمع مآل مخاف فقر الذي فعل فقر,"['نفق', 'ساع', 'جمع', 'مآل', 'مخاف', 'فقر', 'الذي', 'فعل', 'فقر']","['نَفَق', 'ساع', 'جَمْع', 'مال', 'مخاف', 'فَقُر', 'الَّذِي', 'فِعْل', 'فَقُر']",نَفَق ساع جَمْع مال مخاف فَقُر الَّذِي فِعْل فَقُر
البخيل فقير لا يؤجر على فقره.,Sentiment: negative,"['البخيل', 'فقير', 'ياجر', 'فقره']",بخيل فقير أجر فقر,"['بخيل', 'فقير', 'أجر', 'فقر']","['بَخِيل', 'فَقِير', 'أُجَر', 'فَقُر']",بَخِيل فَقِير أُجَر فَقُر
قمة الجنون أن يعيش المرء فقيراً ليموت غنياً.,Sentiment: negative,"['قمة', 'الجنون', 'يعيش', 'المرا', 'فقيرا', 'ليموت', 'غنيا']",قم جنون عيش مرآ فقير موت غني,"['قم', 'جنون', 'عيش', 'مرآ', 'فقير', 'موت', 'غني']","['قَمّ', 'جُنُون', 'عَيْش', 'مَرّ', 'فَقِير', 'مَوْت', 'غَنّ']",قَمّ جُنُون عَيْش مَرّ فَقِير مَوْت غَنّ
غني بخيل، أفقر من متسول.,Sentiment: positive,"['غني', 'بخيل', 'أفقر', 'متسول']",غن بخيل أفقر متسول,"['غن', 'بخيل', 'أفقر', 'متسول']","['غَنّ', 'بَخِيل', 'أَفْقَر', 'مُتَسَوِّل']",غَنّ بَخِيل أَفْقَر مُتَسَوِّل
لا يحمد البخل أن دان الأنام به .. وحامد البخل مذموم ومدحور.,Sentiment: positive,"['يحمد', 'البخل', 'دان', 'الأنام', 'حامد', 'البخل', 'مذموم', 'مدحور']",حمد بخل دان أنام حامد بخل مذموم مدحور,"['حمد', 'بخل', 'دان', 'أنام', 'حامد', 'بخل', 'مذموم', 'مدحور']","['حَمِد', 'بُخْل', 'دان', 'أَنام', 'حامِد', 'بُخْل', 'مَذْمُوم', 'مَدْحُور']",حَمِد بُخْل دان أَنام حامِد بُخْل مَذْمُوم مَدْحُور
